min;19;43;36;66;83;75;34;74;94;23;
1;0;0;0;0;0;0;0;0;0;<=;734;
0;1;0;0;0;0;0;0;0;0;<=;734;
0;0;1;0;0;0;0;0;0;0;<=;734;
0;0;0;1;0;0;0;0;0;0;<=;734;
0;0;0;0;1;0;0;0;0;0;<=;266;
0;0;0;0;0;1;0;0;0;0;<=;266;
0;0;0;0;0;0;1;0;0;0;<=;266;
0;0;0;0;0;0;0;1;0;0;<=;286;
0;0;0;0;0;0;0;0;1;0;<=;266;
0;0;0;0;0;0;0;0;0;1;<=;266;
-1;0;0;0;0;0;0;0;0;0;=;-734;
0;0;0;0;-1;0;0;0;0;0;=;-266;
0;0;0;0;1;-1;0;0;0;0;=;0;
0;0;0;0;0;0;-1;-1;1;0;=;0;
1;-1;-1;0;0;0;0;0;0;0;=;0;
0;0;0;0;0;1;0;0;-1;-1;=;0;
0;1;0;-1;0;0;0;0;0;0;=;0;
0;0;0;1;0;0;0;0;0;0;=;264;
0;0;1;0;0;0;0;1;0;1;=;678;
0;0;0;0;0;0;1;0;0;0;=;58;
